commodityName,PriceType,unit,min,max,avg,date
Onion Dry,Retail,Kg,120,130,125,"Oct 15, 2019"
Onion Dry,Retail,Kg,120,130,125,"Oct 14, 2019"
Onion Dry,Retail,Kg,120,130,125,"Oct 13, 2019"
Onion Dry,Retail,Kg,120,130,125,"Oct 12, 2019"
Onion Dry,Retail,Kg,120,130,125,"Oct 11, 2019"
Onion Dry,Retail,Kg,120,130,125,"Oct 10, 2019"
Onion Dry,Retail,Kg,120,130,125,"Oct 9, 2019"
Onion Dry,Retail,Kg,120,130,125,"Oct 8, 2019"
Onion Dry,Retail,Kg,120,130,125,"Oct 7, 2019"
Onion Dry,Retail,Kg,120,130,125,"Oct 6, 2019"
Onion Dry,Retail,Kg,120,130,125,"Oct 5, 2019"
Onion Dry,Retail,Kg,130,140,135,"Oct 4, 2019"
Onion Dry,Retail,Kg,125,130,128,"Oct 3, 2019"
Onion Dry,Retail,Kg,125,130,128,"Oct 2, 2019"
Onion Dry,Retail,Kg,130,140,135,"Oct 1, 2019"
Onion Dry,Retail,Kg,130,140,135,"Sep 30, 2019"
Onion Dry,Retail,Kg,100,110,105,"Sep 29, 2019"
Onion Dry,Retail,Kg,100,110,105,"Sep 28, 2019"
Onion Dry,Retail,Kg,110,120,115,"Sep 27, 2019"
Onion Dry,Retail,Kg,110,120,115,"Sep 26, 2019"
Onion Dry,Retail,Kg,110,120,115,"Sep 25, 2019"
Onion Dry,Retail,Kg,120,130,125,"Sep 24, 2019"
Onion Dry,Retail,Kg,110,120,115,"Sep 23, 2019"
Onion Dry,Retail,Kg,120,130,125,"Sep 22, 2019"
Onion Dry,Retail,Kg,120,130,125,"Sep 21, 2019"
Onion Dry,Retail,Kg,110,120,115,"Sep 20, 2019"
Onion Dry,Retail,Kg,100,110,105,"Sep 19, 2019"
Onion Dry,Retail,Kg,95,100,98,"Sep 18, 2019"
Onion Dry,Retail,Kg,95,100,98,"Sep 17, 2019"
Onion Dry,Retail,Kg,90,95,93,"Sep 16, 2019"
Onion Dry,Retail,Kg,85,90,88,"Sep 15, 2019"
Onion Dry,Retail,Kg,75,80,78,"Sep 14, 2019"
Onion Dry,Retail,Kg,70,75,73,"Sep 13, 2019"
Onion Dry,Retail,Kg,65,70,68,"Sep 10, 2019"
Onion Dry,Retail,Kg,65,70,68,"Sep 6, 2019"
Onion Dry,Retail,Kg,65,70,68,"Sep 9, 2019"
Onion Dry,Retail,Kg,60,65,63,"Sep 8, 2019"
Onion Dry,Retail,Kg,65,70,68,"Sep 5, 2019"
Onion Dry,Retail,Kg,65,70,68,"Sep 7, 2019"
Onion Dry,Retail,Kg,60,70,65,"Aug 24, 2019"
Onion Dry,Retail,Kg,60,70,65,"Aug 25, 2019"
Onion Dry,Retail,Kg,65,70,68,"Aug 28, 2019"
Onion Dry,Retail,Kg,60,70,65,"Aug 26, 2019"
Onion Dry,Retail,Kg,70,80,75,"Aug 29, 2019"
Onion Dry,Retail,Kg,60,70,65,"Aug 27, 2019"
Onion Dry,Retail,Kg,60,70,65,"Aug 23, 2019"
Onion Dry,Retail,Kg,70,75,73,"Sep 12, 2019"
Onion Dry,Retail,Kg,65,70,68,"Sep 11, 2019"
Onion Dry,Retail,Kg,65,70,68,"Sep 4, 2019"
Onion Dry,Retail,Kg,65,70,68,"Sep 1, 2019"
Onion Dry,Retail,Kg,65,70,68,"Aug 30, 2019"
Onion Dry,Retail,Kg,65,70,68,"Sep 2, 2019"
Onion Dry,Retail,Kg,65,70,68,"Sep 3, 2019"
Onion Dry,Retail,Kg,65,70,68,"Aug 31, 2019"
Onion Dry,Retail,Kg,55,60,58,"Aug 20, 2019"
Onion Dry,Retail,Kg,55,60,58,"Aug 19, 2019"
Onion Dry,Retail,Kg,60,70,65,"Aug 21, 2019"
Onion Dry,Retail,Kg,50,60,55,"Aug 16, 2019"
Onion Dry,Retail,Kg,60,70,65,"Aug 22, 2019"
Onion Dry,Retail,Kg,50,60,55,"Aug 18, 2019"
Onion Dry,Retail,Kg,50,60,55,"Aug 17, 2019"
Onion Dry,Retail,Kg,50,60,55,"Aug 15, 2019"
Onion Dry,Retail,Kg,50,60,55,"Aug 14, 2019"
Onion Dry,Retail,Kg,50,60,55,"Aug 13, 2019"
Onion Dry,Retail,Kg,50,60,55,"Aug 12, 2019"
Onion Dry,Retail,Kg,50,60,55,"Aug 11, 2019"
Onion Dry,Retail,Kg,50,60,55,"Aug 10, 2019"
Onion Dry,Retail,Kg,50,60,55,"Aug 9, 2019"
Onion Dry,Retail,Kg,50,60,55,"Aug 8, 2019"
Onion Dry,Retail,Kg,50,60,55,"Aug 7, 2019"
Onion Dry,Retail,Kg,50,60,55,"Aug 6, 2019"
Onion Dry,Retail,Kg,50,60,55,"Aug 5, 2019"
Onion Dry,Retail,Kg,50,60,55,"Aug 4, 2019"
Onion Dry,Retail,Kg,50,60,55,"Aug 3, 2019"
Onion Dry,Retail,Kg,50,60,55,"Aug 2, 2019"
Onion Dry,Retail,Kg,50,60,55,"Aug 1, 2019"
Onion Dry,Retail,Kg,50,60,55,"Jul 31, 2019"
Onion Dry,Retail,Kg,50,60,55,"Jul 30, 2019"
Onion Dry,Retail,Kg,50,60,55,"Jul 29, 2019"
Onion Dry,Retail,Kg,50,60,55,"Jul 28, 2019"
Onion Dry,Retail,Kg,50,60,55,"Jul 27, 2019"
Onion Dry,Retail,Kg,50,60,55,"Jul 26, 2019"
Onion Dry,Retail,Kg,50,60,55,"Jul 25, 2019"
Onion Dry,Retail,Kg,50,60,55,"Jul 1, 2019"
Onion Dry,Retail,Kg,45,50,48,"Jul 9, 2019"
Onion Dry,Retail,Kg,45,50,48,"Jul 5, 2019"
Onion Dry,Retail,Kg,50,60,55,"Jul 17, 2019"
Onion Dry,Retail,Kg,45,50,48,"Jul 4, 2019"
Onion Dry,Retail,Kg,50,60,55,"Jul 18, 2019"
